"Project","Folder","File","Num of Files","Wordcount","Num of Dlg","Untranslated","Need Review","Approved","Failed","Do not translate","ICE match","100% match","Fuzzy match",
"SP2",,,258895,0,13800,0,245001,0,0,0,0,8558,250337,
,"\lcn",,121613,0,5940,0,115664,0,0,0,0,3595,118018,
,"\lcn","apparmor-parser.pl.po",484,0,0,0,484,0,0,0,0,0,484,
,"\lcn","apparmor-utils.pl.po",978,0,0,0,978,0,0,0,0,0,978,
,"\lcn","banshee.pl.po",4635,0,515,0,4120,0,0,0,0,217,4418,
,"\lcn","beagle.pl.po",1283,0,0,0,1283,0,0,0,0,0,1283,
,"\lcn","bootloader.pl.po",208,0,0,0,208,0,0,0,0,0,208,
,"\lcn","CheckHardware.pl.po",66,0,0,0,66,0,0,0,0,0,66,
,"\lcn","compiz.pl.po",1420,0,8,0,1412,0,0,0,0,8,1412,
,"\lcn","control-center2.pl.po",3536,0,0,0,3536,0,0,0,0,0,3536,
,"\lcn","cracklib.pl.po",94,0,0,0,94,0,0,0,0,0,94,
,"\lcn","cryptconfig.pl.po",866,0,92,0,774,0,0,0,0,55,811,
,"\lcn","eiciel.pl.po",147,0,0,0,147,0,0,0,0,0,147,
,"\lcn","evolution-2.6.pl.po",18629,0,1217,0,17412,0,0,0,0,968,17661,
,"\lcn","evolution-data-server-1.6.pl.po",4394,0,264,0,4130,0,0,0,0,247,4147,
,"\lcn","evolution-exchange-2.6.pl.po",1286,0,234,0,1052,0,0,0,0,234,1052,
,"\lcn","evolution-webcal.pl.po",176,0,0,0,176,0,0,0,0,0,176,
,"\lcn","f-spot.pl.po",2524,0,0,0,2524,0,0,0,0,0,2524,
,"\lcn","gaim.pl.po",10717,0,1392,0,9325,0,0,0,0,990,9727,
,"\lcn","gnome-cups-manager.pl.po",431,0,0,0,431,0,0,0,0,0,431,
,"\lcn","gnome-main-menu.pl.po",1036,0,0,0,1036,0,0,0,0,0,1036,
,"\lcn","gnome-panel.pl.po",4017,0,0,0,4017,0,0,0,0,0,4017,
,"\lcn","gnome-patch-translation.pl.po",2714,0,3,0,2711,0,0,0,0,0,2714,
,"\lcn","gnome-power-manager.pl.po",1327,0,32,0,1295,0,0,0,0,1,1326,
,"\lcn","gnome-screensaver.pl.po",1078,0,2,0,1076,0,0,0,0,0,1078,
,"\lcn","gnome-utils-2.0.pl.po",2568,0,311,0,2257,0,0,0,0,311,2257,
,"\lcn","hal.pl.po",164,0,0,0,164,0,0,0,0,0,164,
,"\lcn","html-help-boot.pl.po",579,0,0,0,579,0,0,0,0,0,579,
,"\lcn","html-help-install.pl.po",1957,0,0,0,1957,0,0,0,0,0,1957,
,"\lcn","kcmbeagle.pl.po",219,0,0,0,219,0,0,0,0,0,219,
